Countries;Continent;NodeSusceptance;NodeConductance;NodeMinVoltage;NodeMaxVoltage
ES00440;Continent;0.0;0.0;198.0;242.00000000000003
ES00441;Continent;0.0;0.0;118.8;145.20000000000002
ES00442;Continent;0.0;0.0;198.0;242.00000000000003
ES00443;Continent;0.0;0.0;118.8;145.20000000000002
ES00444;Continent;0.0;0.0;198.0;242.00000000000003
ES00445;Continent;0.0;0.0;198.0;242.00000000000003
ES00446;Continent;0.0;0.0;198.0;242.00000000000003
ES00447;Continent;0.0;0.0;198.0;242.00000000000003
ES00448;Continent;0.0;0.0;198.0;242.00000000000003
ES00449;Continent;0.0;0.0;198.0;242.00000000000003
ES00450;Continent;0.0;0.0;360.0;440.00000000000006
ES00451;Continent;0.0;0.0;198.0;242.00000000000003
ES00452;Continent;0.0;0.0;360.0;440.00000000000006
ES00453;Continent;0.0;0.0;198.0;242.00000000000003
ES00454;Continent;0.0;0.0;198.0;242.00000000000003
ES00455;Continent;0.0;0.0;198.0;242.00000000000003
ES00456;Continent;0.0;0.0;198.0;242.00000000000003
ES00457;Continent;0.0;0.0;198.0;242.00000000000003
ES00458;Continent;0.0;0.0;360.0;440.00000000000006
ES00459;Continent;0.0;0.0;360.0;440.00000000000006
ES00460;Continent;0.0;0.0;360.0;440.00000000000006
ES00461;Continent;0.0;0.0;198.0;242.00000000000003
ES00462;Continent;0.0;0.0;198.0;242.00000000000003
ES00463;Continent;0.0;0.0;198.0;242.00000000000003
ES00464;Continent;0.0;0.0;198.0;242.00000000000003
ES00465;Continent;0.0;0.0;198.0;242.00000000000003
ES00466;Continent;0.0;0.0;198.0;242.00000000000003
ES00467;Continent;0.0;0.0;198.0;242.00000000000003
ES00468;Continent;0.0;0.0;198.0;242.00000000000003
ES00469;Continent;0.0;0.0;198.0;242.00000000000003
ES00470;Continent;0.0;0.0;198.0;242.00000000000003
ES00471;Continent;0.0;0.0;360.0;440.00000000000006
ES00472;Continent;0.0;0.0;198.0;242.00000000000003
ES00473;Continent;0.0;0.0;198.0;242.00000000000003
ES00474;Continent;0.0;0.0;198.0;242.00000000000003
